date,leader_id,name,citations,h_index,source_url,notes
2026-05-18,abigail-jacobs,Abigail Jacobs,2599,31,https://www.semanticscholar.org/author/33370964,ok
2026-05-18,alice-zhang,Alice Zhang,503,6,https://www.semanticscholar.org/author/1557283571,ok
2026-05-18,ana-maria-rey,Ana Maria Rey,2106,30,https://www.semanticscholar.org/author/144305217,ok
2026-05-18,andrea-ghez,Andrea Ghez,16701,63,https://www.semanticscholar.org/author/4850757,ok
2026-05-18,angela-saini,Angela Saini,1220,8,https://www.semanticscholar.org/author/7223357,ok
2026-05-18,anima-anandkumar,Anima Anandkumar,40629,79,https://www.semanticscholar.org/author/2047844,ok
2026-05-18,anne-e-carpenter,Anne E. Carpenter,36936,83,https://www.semanticscholar.org/author/1721012,ok
2026-05-18,aviv-regev,Aviv Regev,,,,lookup_error: http_429
2026-05-18,ayanna-howard,Ayanna Howard,,,,lookup_error: http_429
2026-05-18,barbara-grosz,Barbara Grosz,12259,41,https://www.semanticscholar.org/author/1692242,ok
2026-05-18,been-kim,Been Kim,345,8,https://www.semanticscholar.org/author/2109708067,ok
2026-05-18,bindu-reddy,Bindu Reddy,214,3,https://www.semanticscholar.org/author/50114704,ok
2026-05-18,carolyn-bertozzi,Carolyn Bertozzi,68825,124,https://www.semanticscholar.org/author/4236727,ok
2026-05-18,cassie-kozyrkov,Cassie Kozyrkov,120,2,https://www.semanticscholar.org/author/146980566,ok
2026-05-18,celeste-kidd,Celeste Kidd,3058,17,https://www.semanticscholar.org/author/144584048,ok
2026-05-18,chelsea-finn,Chelsea Finn,,,,lookup_error: http_429
2026-05-18,christina-agapakis,Christina Agapakis,,,,lookup_error: http_429
2026-05-18,christina-smolke,Christina Smolke,10397,51,https://www.semanticscholar.org/author/2999817,ok
2026-05-18,cornelia-bargmann,Cornelia Bargmann,48842,114,https://www.semanticscholar.org/author/3912040,ok
2026-05-18,cynthia-breazeal,Cynthia Breazeal,,,,lookup_error: http_429
2026-05-18,cynthia-rudin,Cynthia Rudin,25971,57,https://www.semanticscholar.org/author/48395540,ok
2026-05-18,danica-kragic,Danica Kragic,18863,70,https://www.semanticscholar.org/author/1731490,ok
2026-05-18,daniela-amodei,Daniela Amodei,1325,4,https://www.semanticscholar.org/author/2154608472,ok
2026-05-18,daniela-rus,Daniela Rus,67390,130,https://www.semanticscholar.org/author/145944286,ok
2026-05-18,daphne-koller,Daphne Koller,79756,128,https://www.semanticscholar.org/author/1736370,ok
2026-05-18,dawn-song,Dawn Song,561,5,https://www.semanticscholar.org/author/2243381362,ok
2026-05-18,deborah-raji,Deborah Raji,7301,23,https://www.semanticscholar.org/author/81316798,ok
2026-05-18,devi-sridhar,Devi Sridhar,,,,lookup_error: http_429
2026-05-18,diyi-yang,Diyi Yang,10973,43,https://www.semanticscholar.org/author/2022168,ok
2026-05-18,doina-precup,Doina Precup,34198,66,https://www.semanticscholar.org/author/144368601,ok
2026-05-18,emily-bender,Emily Bender,13204,30,https://www.semanticscholar.org/author/2471699,ok
2026-05-18,emmanuelle-charpentier,Emmanuelle Charpentier,25659,22,https://www.semanticscholar.org/author/4698446,ok
2026-05-18,fei-fei-li,Fei-Fei Li,275,7,https://www.semanticscholar.org/author/2194693,ok
2026-05-18,fei-xia,Fei Xia,3183,31,https://www.semanticscholar.org/author/145205810,ok
2026-05-18,finale-doshi-velez,Finale Doshi-Velez,,,,lookup_error: http_429
2026-05-18,gagandeep-kang,Gagandeep Kang,26606,83,https://www.semanticscholar.org/author/144983389,ok
2026-05-18,geetha-manjunath,Geetha Manjunath,,,,lookup_error: http_429
2026-05-18,gwynne-shotwell,Gwynne Shotwell,12,2,https://www.semanticscholar.org/author/96114317,low_confidence
2026-05-18,hayat-sindi,Hayat Sindi,,,,lookup_error: http_429
2026-05-18,hima-lakkaraju,Hima Lakkaraju,9416,45,https://www.semanticscholar.org/author/1892673,ok
2026-05-18,huda-zoghbi,Huda Zoghbi,19169,63,https://www.semanticscholar.org/author/7031533,ok
2026-05-18,jaime-teevan,Jaime Teevan,15650,59,https://www.semanticscholar.org/author/144113253,ok
2026-05-18,jayshree-ullal,Jayshree Ullal,,,,no_match
2026-05-18,jennifer-doudna,Jennifer Doudna,100686,138,https://www.semanticscholar.org/author/4448238,ok
2026-05-18,jess-mega,Jess Mega,,,,lookup_error: http_429
2026-05-18,jianying-hu,Jianying Hu,151,5,https://www.semanticscholar.org/author/15157948,ok
2026-05-18,joanna-bryson,Joanna Bryson,7259,32,https://www.semanticscholar.org/author/145315445,ok
2026-05-18,joelle-pineau,Joelle Pineau,29757,71,https://www.semanticscholar.org/author/145134886,ok
2026-05-18,jolle-barral,Joëlle Barral,6422,15,https://www.semanticscholar.org/author/3658427,ok
2026-05-18,joy-buolamwini,Joy Buolamwini,,,,lookup_error: http_429
2026-05-18,jyoti-joshi,Jyoti Joshi,926,14,https://www.semanticscholar.org/author/2056083538,ok
2026-05-18,kamakshi-sivaramakrishnan,Kamakshi Sivaramakrishnan,122,5,https://www.semanticscholar.org/author/39091119,ok
2026-05-18,katalin-kariko,Katalin Karikó,22547,54,https://www.semanticscholar.org/author/4684425,ok
2026-05-18,kate-crawford,Kate Crawford,514,6,https://www.semanticscholar.org/author/2087014961,ok
