date,leader_id,name,citations,h_index,source_url,notes
2026-05-18,katherine-gorman,Katherine Gorman,72,4,https://www.semanticscholar.org/author/2048071246,low_confidence
2026-05-18,kiran-mazumdar-shaw,Kiran Mazumdar-Shaw,123,5,https://www.semanticscholar.org/author/1421992434,ok
2026-05-18,krista-donaldson,Krista Donaldson,686,13,https://www.semanticscholar.org/author/29446588,ok
2026-05-18,lakshmi-kalyani-chinthala,Lakshmi Kalyani Chinthala,18,2,https://www.semanticscholar.org/author/2361299890,low_confidence
2026-05-18,lila-ibrahim,Lila Ibrahim,99,2,https://www.semanticscholar.org/author/2309477701,low_confidence
2026-05-18,lisa-su,Lisa Su,1116,16,https://www.semanticscholar.org/author/40113157,ok
2026-05-18,lucy-jones,Lucy Jones,253,8,https://www.semanticscholar.org/author/7661487,ok
2026-05-18,lucy-vasserman,Lucy Vasserman,4656,11,https://www.semanticscholar.org/author/145177877,ok
2026-05-18,maja-pantic,Maja Pantić,43508,97,https://www.semanticscholar.org/author/145387780,ok
2026-05-18,manuela-veloso,Manuela Veloso,36812,81,https://www.semanticscholar.org/author/1956361,ok
2026-05-18,maria-florina-balcan,Maria-Florina Balcan,9701,53,https://www.semanticscholar.org/author/1745410,ok
2026-05-18,marzyeh-ghassemi,Marzyeh Ghassemi,14215,57,https://www.semanticscholar.org/author/2804918,ok
2026-05-18,may-britt-moser,May-Britt Moser,39145,77,https://www.semanticscholar.org/author/37661215,ok
2026-05-18,meenal-gupta-noor-fatma-sheetal-tarkas,"Meenal Gupta, Noor Fatma & Sheetal Tarkas",,,,no_match
2026-05-18,michelle-simmons,Michelle Simmons,289,3,https://www.semanticscholar.org/author/94000791,ok
2026-05-18,mihaela-van-der-schaar,Mihaela van der Schaar,,,,lookup_error: http_429
2026-05-18,mira-murati,Mira Murati,37639,6,https://www.semanticscholar.org/author/2117715631,ok
2026-05-18,mirella-lapata,Mirella Lapata,30941,87,https://www.semanticscholar.org/author/1747893,ok
2026-05-18,molly-stevens,Molly Stevens,1781,9,https://www.semanticscholar.org/author/2068348092,ok
2026-05-18,muthayya-vanitha,Muthayya Vanitha,,,,no_match
2026-05-18,nancy-kanwisher,Nancy Kanwisher,51657,101,https://www.semanticscholar.org/author/1931482,ok
2026-05-18,niki-parmar,Niki Parmar,,,,lookup_error: http_429
2026-05-18,olga-russakovsky,Olga Russakovsky,45339,12,https://www.semanticscholar.org/author/2314850892,ok
2026-05-18,pardis-sabeti,Pardis Sabeti,,,,lookup_error: http_429
2026-05-18,pilar-manchon,Pilar Manchón,272,8,https://www.semanticscholar.org/author/146627338,ok
2026-05-18,poppy-crum,Poppy Crum,345,8,https://www.semanticscholar.org/author/3422944,ok
2026-05-18,priscilla-chan,Priscilla Chan,1480,22,https://www.semanticscholar.org/author/40568951,ok
2026-05-18,rachel-haurwitz,Rachel Haurwitz,1517,6,https://www.semanticscholar.org/author/8610656,ok
2026-05-18,raia-hadsell,Raia Hadsell,46138,50,https://www.semanticscholar.org/author/2315504,ok
2026-05-18,rana-el-kaliouby,Rana el Kaliouby,3661,33,https://www.semanticscholar.org/author/1754451,ok
2026-05-18,raquel-urtasun,Raquel Urtasun,,,,lookup_error: http_429
2026-05-18,rediet-abebe,Rediet Abebe,3397,20,https://www.semanticscholar.org/author/5651696,ok
2026-05-18,regina-barzilay,Regina Barzilay,36638,98,https://www.semanticscholar.org/author/1741283,ok
2026-05-18,ritu-karidhal-srivastava,Ritu Karidhal Srivastava,,,,no_match
2026-05-18,ritwika-chowdhury,Ritwika Chowdhury,22,1,https://www.semanticscholar.org/author/2394696542,low_confidence
2026-05-18,rosalind-picard,Rosalind Picard,52259,107,https://www.semanticscholar.org/author/1719389,ok
2026-05-18,ruchi-gupta,Dr. Ruchi Gupta,,,,lookup_error: http_429
2026-05-18,rumman-chowdhury,Rumman Chowdhury,317,6,https://www.semanticscholar.org/author/121269915,ok
2026-05-18,safra-catz,Safra Catz,,,,no_match
2026-05-18,samantha-cristoforetti,Samantha Cristoforetti,163,5,https://www.semanticscholar.org/author/10760024,ok
2026-05-18,sara-hooker,Sara Hooker,5068,23,https://www.semanticscholar.org/author/50237813,ok
2026-05-18,sara-seager,Sara Seager,1462,17,https://www.semanticscholar.org/author/2237829273,ok
2026-05-18,sarah-chen,Sarah Chen,113,5,https://www.semanticscholar.org/author/2107969320,ok
2026-05-18,sarah-teichmann,Sarah Teichmann,67486,117,https://www.semanticscholar.org/author/3334474,ok
2026-05-18,sasha-luccioni,Sasha Luccioni,7988,26,https://www.semanticscholar.org/author/2993731,ok
2026-05-18,sharon-li,Sharon Li,245,5,https://www.semanticscholar.org/author/2385968241,ok
2026-05-18,shirley-ho,Shirley Ho,157,5,https://www.semanticscholar.org/author/50311691,ok
2026-05-18,shubha-tole,Shubha Tole,4989,39,https://www.semanticscholar.org/author/6484746,ok
2026-05-18,suchi-saria,Suchi Saria,9912,46,https://www.semanticscholar.org/author/1932128,ok
2026-05-18,sunita-sarawagi,Sunita Sarawagi,12678,49,https://www.semanticscholar.org/author/1770124,ok
2026-05-18,swati-mohan,Swati Mohan,614,14,https://www.semanticscholar.org/author/46944069,ok
2026-05-18,tessy-thomas,Dr. Tessy Thomas,59,3,https://www.semanticscholar.org/author/2110757306,low_confidence
2026-05-18,timnit-gebru,Timnit Gebru,,,,lookup_error: http_429
2026-05-18,tina-eliassi-rad,Tina Eliassi-Rad,12389,42,https://www.semanticscholar.org/author/1397398770,ok
2026-05-18,tu-youyou,Tu Youyou,303,9,https://www.semanticscholar.org/author/13814887,ok
2026-05-18,usha-rengaraju,Usha Rengaraju,,,,lookup_error: http_429
2026-05-18,virginia-dignum,Virginia Dignum,,,,lookup_error: http_429
2026-05-18,yamuna-krishnan,Yamuna Krishnan,,,,lookup_error: http_429
2026-05-18,yejin-choi,Yejin Choi,102,4,https://www.semanticscholar.org/author/2324219768,ok
2026-05-18,yoky-matsuoka,Yoky Matsuoka,3932,34,https://www.semanticscholar.org/author/1723726,ok
2026-05-18,yolanda-gil,Yolanda Gil,305,5,https://www.semanticscholar.org/author/2261212675,ok
